	關卡類型	主關卡ID	次關卡ID	難度	前置關卡	背景編碼	ICON編碼	開放等級	消耗AP	次數限制	重置規則	戰力指標	時間限制	環境損傷	單人模式	特殊規則	場景編碼	配置編碼	音樂	BOSS進場音樂	BOSS戰音樂	隱藏要素	通關條件1	通關條件1參數	通關條件2	通關條件2參數	通關條件3	通關條件3參數	首破經驗	首破金幣	首破戰利品	獲得經驗	獲得金幣	獲得戰利品	獲得熟練度	BOSS介紹	路徑	開始時間	結束時間	起始版本	結束版本	名稱	說明	
100450	4	10044	2	1	100441	UI_SPEvent_BG_32	null	22	0	-1	0	0	0	15	0	200007	stage04_3602_e1	stage04_3602_e1	BGMe2,bgm_st_e2	null	BGMe2,bgm_st_e2b	0	4	1	2	400	3	30	0	0	0	0	0	0	0	CHAMELEOS	null	null	null	10.01.0000	null	STAGE_NAME_100450	STAGE_TIP_BOXGACHA_RESEARCH	
100451	4	10045	1	1	null	UI_SPEvent_BG_33	null	22	0	-1	0	0	0	15	0	200007	stage04_3801_e1	stage04_3801_e1	BGM02,bgm_st_nullspace	BGM01,bgm_st_boss03	BGM01,bgm_st_boss03	0	1	0	1	0	1	0	0	0	52981	0	0	0	0	DROITCLAIR	null	null	null	9.09.0000	null	STAGE_NAME_100451	STAGE_TIP_PLOT	
100461	4	10046	1	1	null	UI_SPEvent_BG_34	null	22	3	-1	0	13160	0	15	0	0	stage04_3701_e1	stage04_3701_e1	BGM02,bgm_st_repli_airforce	null	BGM02,bgm_st_boss12	0	1	0	2	270	14	5	0	0	53161	0	0	53161	0	FIELDBBLOVE	null	null	null	10.03.0000	null	STAGE_NAME_100461	STAGE_TIP_POINT	
100462	4	10046	1	2	null	UI_SPEvent_BG_34	null	22	3	-1	0	51276	0	15	0	0	stage04_3701_e1	stage04_3701_e1	BGM02,bgm_st_repli_airforce	null	BGM02,bgm_st_boss12	0	1	0	2	270	14	5	0	0	53171	0	0	53171	0	FIELDBBLOVE	null	null	null	10.03.0000	null	STAGE_NAME_100461	STAGE_TIP_POINT	
100463	4	10046	1	3	null	UI_SPEvent_BG_34	null	22	3	-1	0	105888	0	15	0	0	stage04_3701_e1	stage04_3701_e1	BGM02,bgm_st_repli_airforce	null	BGM02,bgm_st_boss12	0	1	0	2	270	14	5	0	0	53181	0	0	53181	0	FIELDBBLOVE	null	null	null	10.03.0000	null	STAGE_NAME_100461	STAGE_TIP_POINT	
100464	4	10046	1	4	null	UI_SPEvent_BG_34	null	22	3	-1	0	188048	0	15	0	0	stage04_3701_e1	stage04_3701_e1	BGM02,bgm_st_repli_airforce	null	BGM02,bgm_st_boss12	0	1	0	2	270	14	5	0	0	53191	0	0	53191	0	FIELDBBLOVE	null	null	null	10.03.0000	null	STAGE_NAME_100461	STAGE_TIP_POINT	
100465	4	10046	1	5	null	UI_SPEvent_BG_34	null	22	3	-1	0	291560	0	15	0	0	stage04_3701_e1	stage04_3701_e1	BGM02,bgm_st_repli_airforce	null	BGM02,bgm_st_boss12	0	1	0	2	270	14	5	0	0	53201	0	0	53201	0	FIELDBBLOVE	null	null	null	10.03.0000	null	STAGE_NAME_100461	STAGE_TIP_POINT	
100466	4	10046	1	6	null	UI_SPEvent_BG_34	null	22	3	-1	0	363201	0	15	0	0	stage04_3701_e1	stage04_3701_e1	BGM02,bgm_st_repli_airforce	null	BGM02,bgm_st_boss12	0	1	0	2	270	14	5	0	0	53211	0	0	53211	0	FIELDBBLOVE	null	null	null	10.03.0000	null	STAGE_NAME_100461	STAGE_TIP_POINT	
100467	4	10046	1	7	null	UI_SPEvent_BG_34	null	22	3	-1	0	438322	0	15	0	0	stage04_3701_e1	stage04_3701_e1	BGM02,bgm_st_repli_airforce	null	BGM02,bgm_st_boss12	0	1	0	2	270	14	5	0	0	53221	0	0	53221	0	FIELDBBLOVE	null	null	null	10.03.0000	null	STAGE_NAME_100461	STAGE_TIP_POINT	
100468	4	10046	1	8	null	UI_SPEvent_BG_34	null	22	3	-1	0	796072	0	15	0	0	stage04_3701_e1	stage04_3701_e1	BGM02,bgm_st_repli_airforce	null	BGM02,bgm_st_boss12	0	1	0	2	270	14	5	0	0	53231	0	0	53231	0	FIELDBBLOVE	null	null	null	10.03.0000	null	STAGE_NAME_100462	STAGE_TIP_POINT	
100471	4	10047	1	1	null	UI_SPEvent_BG_35	null	22	0	-1	0	0	0	15	0	200007	stage04_4001_e1	stage04_4001_e1	BGM02,bgm_st_nullspace	BGMe1,bgm_st_e1b	BGMe1,bgm_st_e1b	0	1	0	1	0	1	0	0	0	53241	0	0	0	0	null	null	null	null	10.05.0000	null	STAGE_NAME_100471	STAGE_TIP_PLOT	
100481	4	10048	1	1	null	UI_SPEvent_BG_36	null	22	3	-1	0	13160	0	15	0	0	stage04_4201_e1	stage04_4201_e1	BGMe2,bgm_st_e2	null	BGMe2,bgm_st_e2b	0	1	0	2	300	14	5	0	0	53251	0	0	53251	0	GATE	null	null	null	10.06.0000	null	STAGE_NAME_100481	STAGE_TIP_POINT	
100482	4	10048	1	2	null	UI_SPEvent_BG_36	null	22	3	-1	0	51276	0	15	0	0	stage04_4201_e1	stage04_4201_e1	BGMe2,bgm_st_e2	null	BGMe2,bgm_st_e2b	0	1	0	2	300	14	5	0	0	53261	0	0	53261	0	GATE	null	null	null	10.06.0000	null	STAGE_NAME_100481	STAGE_TIP_POINT	
100483	4	10048	1	3	null	UI_SPEvent_BG_36	null	22	3	-1	0	105888	0	15	0	0	stage04_4201_e1	stage04_4201_e1	BGMe2,bgm_st_e2	null	BGMe2,bgm_st_e2b	0	1	0	2	300	14	5	0	0	53271	0	0	53271	0	GATE	null	null	null	10.06.0000	null	STAGE_NAME_100481	STAGE_TIP_POINT	
100484	4	10048	1	4	null	UI_SPEvent_BG_36	null	22	3	-1	0	188048	0	15	0	0	stage04_4201_e1	stage04_4201_e1	BGMe2,bgm_st_e2	null	BGMe2,bgm_st_e2b	0	1	0	2	300	14	5	0	0	53281	0	0	53281	0	GATE	null	null	null	10.06.0000	null	STAGE_NAME_100481	STAGE_TIP_POINT	
100485	4	10048	1	5	null	UI_SPEvent_BG_36	null	22	3	-1	0	291560	0	15	0	0	stage04_4201_e1	stage04_4201_e1	BGMe2,bgm_st_e2	null	BGMe2,bgm_st_e2b	0	1	0	2	300	14	5	0	0	53291	0	0	53291	0	GATE	null	null	null	10.06.0000	null	STAGE_NAME_100481	STAGE_TIP_POINT	
100486	4	10048	1	6	null	UI_SPEvent_BG_36	null	22	3	-1	0	363201	0	15	0	0	stage04_4201_e1	stage04_4201_e1	BGMe2,bgm_st_e2	null	BGMe2,bgm_st_e2b	0	1	0	2	300	14	5	0	0	53301	0	0	53301	0	GATE	null	null	null	10.06.0000	null	STAGE_NAME_100481	STAGE_TIP_POINT	
100487	4	10048	1	7	null	UI_SPEvent_BG_36	null	22	3	-1	0	438322	0	15	0	0	stage04_4201_e1	stage04_4201_e1	BGMe2,bgm_st_e2	null	BGMe2,bgm_st_e2b	0	1	0	2	300	14	5	0	0	53311	0	0	53311	0	GATE	null	null	null	10.06.0000	null	STAGE_NAME_100481	STAGE_TIP_POINT	
100488	4	10048	1	8	null	UI_SPEvent_BG_36	null	22	3	-1	0	796072	0	15	0	0	stage04_4201_e1	stage04_4201_e1	BGMe2,bgm_st_e2	null	BGMe2,bgm_st_e2b	0	1	0	2	300	14	5	0	0	53321	0	0	53321	0	GATE	null	null	null	10.06.0000	null	STAGE_NAME_100488	STAGE_TIP_POINT	
100491	4	10049	1	1	null	UI_SPEvent_BG_18	null	22	3	-1	0	13160	0	15	0	0	stage04_1701_e1	stage04_1701_e1	BGM02,bgm_st_select	null	BGM02,bgm_st_boss16	0	1	0	2	300	3	30	0	0	53331	0	0	53331	0	VIA	null	null	null	10.08.0000	null	STAGE_NAME_100231	STAGE_TIP_POINTONLY	
100492	4	10049	1	2	null	UI_SPEvent_BG_18	null	22	3	-1	0	51276	0	15	0	0	stage04_1701_e1	stage04_1701_e1	BGM02,bgm_st_select	null	BGM02,bgm_st_boss16	0	1	0	2	300	3	30	0	0	53341	0	0	53341	0	VIA	null	null	null	10.08.0000	null	STAGE_NAME_100231	STAGE_TIP_POINTONLY	
100493	4	10049	1	3	null	UI_SPEvent_BG_18	null	22	3	-1	0	105888	0	15	0	0	stage04_1701_e1	stage04_1701_e1	BGM02,bgm_st_select	null	BGM02,bgm_st_boss16	0	1	0	2	300	3	30	0	0	53351	0	0	53351	0	VIA	null	null	null	10.08.0000	null	STAGE_NAME_100231	STAGE_TIP_POINTONLY	
100494	4	10049	1	4	null	UI_SPEvent_BG_18	null	22	3	-1	0	188048	0	15	0	0	stage04_1701_e1	stage04_1701_e1	BGM02,bgm_st_select	null	BGM02,bgm_st_boss16	0	1	0	2	300	3	30	0	0	53361	0	0	53361	0	VIA	null	null	null	10.08.0000	null	STAGE_NAME_100231	STAGE_TIP_POINTONLY	
100495	4	10049	1	5	null	UI_SPEvent_BG_18	null	22	3	-1	0	291560	0	15	0	0	stage04_1701_e1	stage04_1701_e1	BGM02,bgm_st_select	null	BGM02,bgm_st_boss16	0	1	0	2	300	3	30	0	0	53371	0	0	53371	0	VIA	null	null	null	10.08.0000	null	STAGE_NAME_100231	STAGE_TIP_POINTONLY	
100496	4	10049	1	6	null	UI_SPEvent_BG_18	null	22	3	-1	0	363201	0	15	0	0	stage04_1701_e1	stage04_1701_e1	BGM02,bgm_st_select	null	BGM02,bgm_st_boss16	0	1	0	2	300	3	30	0	0	53381	0	0	53381	0	VIA	null	null	null	10.08.0000	null	STAGE_NAME_100231	STAGE_TIP_POINTONLY	
100497	4	10049	1	7	null	UI_SPEvent_BG_18	null	22	3	-1	0	438322	0	15	0	0	stage04_1701_e1	stage04_1701_e1	BGM02,bgm_st_select	null	BGM02,bgm_st_boss16	0	1	0	2	300	3	30	0	0	53391	0	0	53391	0	VIA	null	null	null	10.08.0000	null	STAGE_NAME_100231	STAGE_TIP_POINTONLY	
100498	4	10049	1	8	null	UI_SPEvent_BG_18	null	22	3	-1	0	796072	0	15	0	0	stage04_1701_e1	stage04_1701_e1	BGM02,bgm_st_select	null	BGM02,bgm_st_boss16	0	1	0	2	300	3	30	0	0	53401	0	0	53401	0	VIA	null	null	null	10.08.0000	null	STAGE_NAME_100231	STAGE_TIP_POINTONLY	
100500	4	10049	2	1	null	UI_SPEvent_BG_18	null	22	0	-1	0	0	0	15	0	200007	stage04_1701_e1	stage04_1701_e1	BGM02,bgm_st_select	null	BGM02,bgm_st_boss16	0	4	1	2	300	3	30	0	0	0	0	0	0	0	VIA	null	null	null	10.08.0000	null	STAGE_NAME_100231	STAGE_TIP_POINTONLY	
100501	4	10050	1	1	null	UI_SPEvent_BG_37	null	22	3	-1	0	13160	0	15	0	0	stage04_3901_e1	stage04_3901_e1	BGM02,bgm_st_nullspace	null	BGMe3,bgm_st_e3b	0	1	0	2	240	14	9	0	0	53411	0	0	53411	0	VIA	null	null	null	11.00.0000	null	STAGE_NAME_100501	STAGE_TIP_POINT	
100502	4	10050	1	2	null	UI_SPEvent_BG_37	null	22	3	-1	0	51276	0	15	0	0	stage04_3901_e1	stage04_3901_e1	BGM02,bgm_st_nullspace	null	BGMe3,bgm_st_e3b	0	1	0	2	240	14	9	0	0	53421	0	0	53421	0	VIA	null	null	null	11.00.0000	null	STAGE_NAME_100501	STAGE_TIP_POINT	
100503	4	10050	1	3	null	UI_SPEvent_BG_37	null	22	3	-1	0	105888	0	15	0	0	stage04_3901_e1	stage04_3901_e1	BGM02,bgm_st_nullspace	null	BGMe3,bgm_st_e3b	0	1	0	2	240	14	9	0	0	53431	0	0	53431	0	VIA	null	null	null	11.00.0000	null	STAGE_NAME_100501	STAGE_TIP_POINT	
100504	4	10050	1	4	null	UI_SPEvent_BG_37	null	22	3	-1	0	188048	0	15	0	0	stage04_3901_e1	stage04_3901_e1	BGM02,bgm_st_nullspace	null	BGMe3,bgm_st_e3b	0	1	0	2	240	14	9	0	0	53441	0	0	53441	0	VIA	null	null	null	11.00.0000	null	STAGE_NAME_100501	STAGE_TIP_POINT	
100505	4	10050	1	5	null	UI_SPEvent_BG_37	null	22	3	-1	0	291560	0	15	0	0	stage04_3901_e1	stage04_3901_e1	BGM02,bgm_st_nullspace	null	BGMe3,bgm_st_e3b	0	1	0	2	240	14	9	0	0	53451	0	0	53451	0	VIA	null	null	null	11.00.0000	null	STAGE_NAME_100501	STAGE_TIP_POINT	
100506	4	10050	1	6	null	UI_SPEvent_BG_37	null	22	3	-1	0	363201	0	15	0	0	stage04_3901_e1	stage04_3901_e1	BGM02,bgm_st_nullspace	null	BGMe3,bgm_st_e3b	0	1	0	2	240	14	9	0	0	53461	0	0	53461	0	VIA	null	null	null	11.00.0000	null	STAGE_NAME_100501	STAGE_TIP_POINT	
100507	4	10050	1	7	null	UI_SPEvent_BG_37	null	22	3	-1	0	438322	0	15	0	0	stage04_3901_e1	stage04_3901_e1	BGM02,bgm_st_nullspace	null	BGMe3,bgm_st_e3b	0	1	0	2	240	14	9	0	0	53471	0	0	53471	0	VIA	null	null	null	11.00.0000	null	STAGE_NAME_100501	STAGE_TIP_POINT	
100508	4	10050	1	8	null	UI_SPEvent_BG_37	null	22	3	-1	0	796072	0	15	0	0	stage04_3901_e1	stage04_3901_e1	BGM02,bgm_st_nullspace	null	BGMe3,bgm_st_e3b	0	1	0	2	240	14	9	0	0	53481	0	0	53481	0	VIA	null	null	null	11.00.0000	null	STAGE_NAME_100508	STAGE_TIP_POINT	
100511	4	10051	1	1	null	UI_SPEvent_BG_38	null	22	3	-1	0	13160	0	15	0	0	stage04_4601_e1	stage04_4601_e1	BGM02,bgm_st_oldcastle	null	BGM01,bgm_st_mboss01	0	1	0	2	300	3	30	0	0	53501	0	0	53501	0	HYAKULEGGER	null	null	null	11.02.0000	null	STAGE_NAME_100511	STAGE_TIP_DROPSINGLE	
100512	4	10051	1	2	null	UI_SPEvent_BG_38	null	22	3	-1	0	51276	0	15	0	0	stage04_4601_e1	stage04_4601_e1	BGM02,bgm_st_oldcastle	null	BGM01,bgm_st_mboss01	0	1	0	2	300	3	30	0	0	53511	0	0	53511	0	HYAKULEGGER	null	null	null	11.02.0000	null	STAGE_NAME_100511	STAGE_TIP_DROPSINGLE	
100513	4	10051	1	3	null	UI_SPEvent_BG_38	null	22	3	-1	0	105888	0	15	0	0	stage04_4601_e1	stage04_4601_e1	BGM02,bgm_st_oldcastle	null	BGM01,bgm_st_mboss01	0	1	0	2	300	3	30	0	0	53521	0	0	53521	0	HYAKULEGGER	null	null	null	11.02.0000	null	STAGE_NAME_100511	STAGE_TIP_DROPSINGLE	
100514	4	10051	1	4	null	UI_SPEvent_BG_38	null	22	3	-1	0	188048	0	15	0	0	stage04_4601_e1	stage04_4601_e1	BGM02,bgm_st_oldcastle	null	BGM01,bgm_st_mboss01	0	1	0	2	300	3	30	0	0	53531	0	0	53531	0	HYAKULEGGER	null	null	null	11.02.0000	null	STAGE_NAME_100511	STAGE_TIP_DROPSINGLE	
100515	4	10051	1	5	null	UI_SPEvent_BG_38	null	22	3	-1	0	291560	0	15	0	0	stage04_4601_e1	stage04_4601_e1	BGM02,bgm_st_oldcastle	null	BGM01,bgm_st_mboss01	0	1	0	2	300	3	30	0	0	53541	0	0	53541	0	HYAKULEGGER	null	null	null	11.02.0000	null	STAGE_NAME_100511	STAGE_TIP_DROPSINGLE	
100516	4	10051	1	6	null	UI_SPEvent_BG_38	null	22	3	-1	0	363201	0	15	0	0	stage04_4601_e1	stage04_4601_e1	BGM02,bgm_st_oldcastle	null	BGM01,bgm_st_mboss01	0	1	0	2	300	3	30	0	0	53551	0	0	53551	0	HYAKULEGGER	null	null	null	11.02.0000	null	STAGE_NAME_100511	STAGE_TIP_DROPSINGLE	
100517	4	10051	1	7	null	UI_SPEvent_BG_38	null	22	3	-1	0	438322	0	15	0	0	stage04_4601_e1	stage04_4601_e1	BGM02,bgm_st_oldcastle	null	BGM01,bgm_st_mboss01	0	1	0	2	300	3	30	0	0	53561	0	0	53561	0	HYAKULEGGER	null	null	null	11.02.0000	null	STAGE_NAME_100511	STAGE_TIP_DROPSINGLE	
100518	4	10051	1	8	null	UI_SPEvent_BG_38	null	22	3	-1	0	796072	0	15	0	0	stage04_4601_e1	stage04_4601_e1	BGM02,bgm_st_oldcastle	null	BGM01,bgm_st_mboss01	0	1	0	2	300	3	30	0	0	53571	0	0	53571	0	HYAKULEGGER	null	null	null	11.02.0000	null	STAGE_NAME_100518	STAGE_TIP_DROPSINGLE	
100521	4	10052	1	1	null	UI_SPEvent_BG_19	null	22	3	-1	0	0	0	0	0	0	stage04_2101_e1	stage04_2101_e1	BGMe1,bgm_st_e1	null	null	0	15	700	15	420	15	210	0	0	53491	0	0	53491	0	null	null	null	null	11.01.0000	null	STAGE_NAME_100241	STAGE_TIP_DROPSINGLE	
100531	4	10053	1	1	null	UI_SPEvent_BG_39	null	22	3	-1	0	13160	0	15	0	0	stage04_4301_e1	stage04_4301_e1	BGM01,bgm_st_forest	null	null	0	1	0	2	300	14	8	0	0	53581	0	0	53581	0	null	null	null	null	11.03.0000	null	STAGE_NAME_100531	STAGE_TIP_BOXGACHA	
100532	4	10053	1	2	null	UI_SPEvent_BG_39	null	22	3	-1	0	51276	0	15	0	0	stage04_4301_e1	stage04_4301_e1	BGM01,bgm_st_forest	null	null	0	1	0	2	300	14	8	0	0	53591	0	0	53591	0	null	null	null	null	11.03.0000	null	STAGE_NAME_100531	STAGE_TIP_BOXGACHA	
100533	4	10053	1	3	null	UI_SPEvent_BG_39	null	22	3	-1	0	105888	0	15	0	0	stage04_4301_e1	stage04_4301_e1	BGM01,bgm_st_forest	null	null	0	1	0	2	300	14	8	0	0	53601	0	0	53601	0	null	null	null	null	11.03.0000	null	STAGE_NAME_100531	STAGE_TIP_BOXGACHA	
100534	4	10053	1	4	null	UI_SPEvent_BG_39	null	22	3	-1	0	188048	0	15	0	0	stage04_4301_e1	stage04_4301_e1	BGM01,bgm_st_forest	null	null	0	1	0	2	300	14	8	0	0	53611	0	0	53611	0	null	null	null	null	11.03.0000	null	STAGE_NAME_100531	STAGE_TIP_BOXGACHA	
100535	4	10053	1	5	null	UI_SPEvent_BG_39	null	22	3	-1	0	291560	0	15	0	0	stage04_4301_e1	stage04_4301_e1	BGM01,bgm_st_forest	null	null	0	1	0	2	300	14	8	0	0	53621	0	0	53621	0	null	null	null	null	11.03.0000	null	STAGE_NAME_100531	STAGE_TIP_BOXGACHA	
100536	4	10053	1	6	null	UI_SPEvent_BG_39	null	22	3	-1	0	363201	0	15	0	0	stage04_4301_e1	stage04_4301_e1	BGM01,bgm_st_forest	null	null	0	1	0	2	300	14	8	0	0	53631	0	0	53631	0	null	null	null	null	11.03.0000	null	STAGE_NAME_100531	STAGE_TIP_BOXGACHA	
100537	4	10053	1	7	null	UI_SPEvent_BG_39	null	22	3	-1	0	438322	0	15	0	0	stage04_4301_e1	stage04_4301_e1	BGM01,bgm_st_forest	null	null	0	1	0	2	300	14	8	0	0	53641	0	0	53641	0	null	null	null	null	11.03.0000	null	STAGE_NAME_100531	STAGE_TIP_BOXGACHA	
100538	4	10053	1	8	null	UI_SPEvent_BG_39	null	22	3	-1	0	796072	0	15	0	0	stage04_4301_e1	stage04_4301_e1	BGM01,bgm_st_forest	null	null	0	1	0	2	300	14	8	0	0	53651	0	0	53651	0	null	null	null	null	11.03.0000	null	STAGE_NAME_100538	STAGE_TIP_BOXGACHA	
100541	4	10054	1	1	null	UI_SPEvent_BG_40	null	22	0	-1	0	0	0	15	0	200007	stage04_4501_e1	stage04_4501_e1	BGM02,bgm_st_nullspace	null	BGMe4,bgm_st_e4b	0	1	0	1	0	1	0	0	0	53661	0	0	0	0	null	null	null	null	11.05.0000	null	STAGE_NAME_100541	STAGE_TIP_PLOT	
100551	4	10055	1	1	null	UI_SPEvent_BG_41	null	22	3	-1	0	13160	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe3,bgm_st_e3b	0	1	0	2	300	14	7	0	0	53671	0	0	53671	0	FERHAM	null	null	null	11.06.0000	null	STAGE_NAME_100551	STAGE_TIP_POINT	
100552	4	10055	1	2	null	UI_SPEvent_BG_41	null	22	3	-1	0	51276	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe3,bgm_st_e3b	0	1	0	2	300	14	7	0	0	53681	0	0	53681	0	FERHAM	null	null	null	11.06.0000	null	STAGE_NAME_100551	STAGE_TIP_POINT	
100553	4	10055	1	3	null	UI_SPEvent_BG_41	null	22	3	-1	0	105888	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe3,bgm_st_e3b	0	1	0	2	300	14	7	0	0	53691	0	0	53691	0	FERHAM	null	null	null	11.06.0000	null	STAGE_NAME_100551	STAGE_TIP_POINT	
100554	4	10055	1	4	null	UI_SPEvent_BG_41	null	22	3	-1	0	188048	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe3,bgm_st_e3b	0	1	0	2	300	14	7	0	0	53701	0	0	53701	0	FERHAM	null	null	null	11.06.0000	null	STAGE_NAME_100551	STAGE_TIP_POINT	
100555	4	10055	1	5	null	UI_SPEvent_BG_41	null	22	3	-1	0	291560	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe3,bgm_st_e3b	0	1	0	2	300	14	7	0	0	53711	0	0	53711	0	FERHAM	null	null	null	11.06.0000	null	STAGE_NAME_100551	STAGE_TIP_POINT	
100556	4	10055	1	6	null	UI_SPEvent_BG_41	null	22	3	-1	0	363201	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe3,bgm_st_e3b	0	1	0	2	300	14	7	0	0	53721	0	0	53721	0	FERHAM	null	null	null	11.06.0000	null	STAGE_NAME_100551	STAGE_TIP_POINT	
100557	4	10055	1	7	null	UI_SPEvent_BG_41	null	22	3	-1	0	438322	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe3,bgm_st_e3b	0	1	0	2	300	14	7	0	0	53731	0	0	53731	0	FERHAM	null	null	null	11.06.0000	null	STAGE_NAME_100551	STAGE_TIP_POINT	
100558	4	10055	1	8	null	UI_SPEvent_BG_41	null	22	3	-1	0	796072	0	15	0	0	stage04_4101_e1	stage04_4101_e1	BGM01,bgm_st_desert	null	BGMe3,bgm_st_e3b	0	1	0	2	300	14	7	0	0	53741	0	0	53741	0	FERHAM	null	null	null	11.06.0000	null	STAGE_NAME_100558	STAGE_TIP_POINT	
100561	4	10056	1	1	null	UI_SPEvent_BG_42	null	22	3	-1	0	13160	0	15	0	0	stage04_4401_e1	stage04_4401_e1	BGM01,bgm_st_park	null	BGM01,bgm_st_mboss01	0	1	0	3	20	14	5	0	0	53751	0	0	53751	0	null	null	null	null	11.08.0000	null	STAGE_NAME_100561	STAGE_TIP_BOXGACHA	
100562	4	10056	1	2	null	UI_SPEvent_BG_42	null	22	3	-1	0	51276	0	15	0	0	stage04_4401_e1	stage04_4401_e1	BGM01,bgm_st_park	null	BGM01,bgm_st_mboss01	0	1	0	3	20	14	5	0	0	53761	0	0	53761	0	null	null	null	null	11.08.0000	null	STAGE_NAME_100561	STAGE_TIP_BOXGACHA	
100563	4	10056	1	3	null	UI_SPEvent_BG_42	null	22	3	-1	0	105888	0	15	0	0	stage04_4401_e1	stage04_4401_e1	BGM01,bgm_st_park	null	BGM01,bgm_st_mboss01	0	1	0	3	20	14	5	0	0	53771	0	0	53771	0	null	null	null	null	11.08.0000	null	STAGE_NAME_100561	STAGE_TIP_BOXGACHA	
100564	4	10056	1	4	null	UI_SPEvent_BG_42	null	22	3	-1	0	188048	0	15	0	0	stage04_4401_e1	stage04_4401_e1	BGM01,bgm_st_park	null	BGM01,bgm_st_mboss01	0	1	0	3	20	14	5	0	0	53781	0	0	53781	0	null	null	null	null	11.08.0000	null	STAGE_NAME_100561	STAGE_TIP_BOXGACHA	
100565	4	10056	1	5	null	UI_SPEvent_BG_42	null	22	3	-1	0	291560	0	15	0	0	stage04_4401_e1	stage04_4401_e1	BGM01,bgm_st_park	null	BGM01,bgm_st_mboss01	0	1	0	3	20	14	5	0	0	53791	0	0	53791	0	null	null	null	null	11.08.0000	null	STAGE_NAME_100561	STAGE_TIP_BOXGACHA	
100566	4	10056	1	6	null	UI_SPEvent_BG_42	null	22	3	-1	0	363201	0	15	0	0	stage04_4401_e1	stage04_4401_e1	BGM01,bgm_st_park	null	BGM01,bgm_st_mboss01	0	1	0	3	20	14	5	0	0	53801	0	0	53801	0	null	null	null	null	11.08.0000	null	STAGE_NAME_100561	STAGE_TIP_BOXGACHA	
100567	4	10056	1	7	null	UI_SPEvent_BG_42	null	22	3	-1	0	438322	0	15	0	0	stage04_4401_e1	stage04_4401_e1	BGM01,bgm_st_park	null	BGM01,bgm_st_mboss01	0	1	0	3	20	14	5	0	0	53811	0	0	53811	0	null	null	null	null	11.08.0000	null	STAGE_NAME_100561	STAGE_TIP_BOXGACHA	
100568	4	10056	1	8	null	UI_SPEvent_BG_42	null	22	3	-1	0	796072	0	15	0	0	stage04_4401_e1	stage04_4401_e1	BGM01,bgm_st_park	null	BGM01,bgm_st_mboss01	0	1	0	3	20	14	5	0	0	53821	0	0	53821	0	null	null	null	null	11.08.0000	null	STAGE_NAME_100561	STAGE_TIP_BOXGACHA	
100571	4	10057	1	1	null	UI_SPEvent_BG_06	null	22	3	-1	0	13160	0	15	0	0	stage04_0501_e1	stage04_0501_e1	BGM00,bgm_st_highway	BGM01,bgm_ev_vava01	BGM02,bgm_st_boss08	0	1	0	2	400	3	30	0	0	53831	0	0	53831	0	VAVAMK2	null	null	null	12.00.0000	null	STAGE_NAME_100571	STAGE_TIP_DROPSINGLE	
100572	4	10057	1	2	null	UI_SPEvent_BG_06	null	22	3	-1	0	51276	0	15	0	0	stage04_0501_e1	stage04_0501_e1	BGM00,bgm_st_highway	BGM01,bgm_ev_vava01	BGM02,bgm_st_boss08	0	1	0	2	400	3	30	0	0	53841	0	0	53841	0	VAVAMK2	null	null	null	12.00.0000	null	STAGE_NAME_100571	STAGE_TIP_DROPSINGLE	
100573	4	10057	1	3	null	UI_SPEvent_BG_06	null	22	3	-1	0	105888	0	15	0	0	stage04_0501_e1	stage04_0501_e1	BGM00,bgm_st_highway	BGM01,bgm_ev_vava01	BGM02,bgm_st_boss08	0	1	0	2	400	3	30	0	0	53851	0	0	53851	0	VAVAMK2	null	null	null	12.00.0000	null	STAGE_NAME_100571	STAGE_TIP_DROPSINGLE	
100574	4	10057	1	4	null	UI_SPEvent_BG_06	null	22	3	-1	0	188048	0	15	0	0	stage04_0501_e1	stage04_0501_e1	BGM00,bgm_st_highway	BGM01,bgm_ev_vava01	BGM02,bgm_st_boss08	0	1	0	2	400	3	30	0	0	53861	0	0	53861	0	VAVAMK2	null	null	null	12.00.0000	null	STAGE_NAME_100571	STAGE_TIP_DROPSINGLE	
100575	4	10057	1	5	null	UI_SPEvent_BG_06	null	22	3	-1	0	291560	0	15	0	0	stage04_0501_e1	stage04_0501_e1	BGM00,bgm_st_highway	BGM01,bgm_ev_vava01	BGM02,bgm_st_boss08	0	1	0	2	400	3	30	0	0	53871	0	0	53871	0	VAVAMK2	null	null	null	12.00.0000	null	STAGE_NAME_100571	STAGE_TIP_DROPSINGLE	
