鍵值	繁體中文	简体中文	日文	英文	泰文	葡语	西语	德语	俄语	法语	韓文
STAGE_NAME_100688	戰慄！血月下的王者【難度8】	战栗！血月下的王者【难度8】	狩れ！爵銀宿る爆炎の拳【難易度8】	Tremble under the King of the Blood Moon! [Difficulty Level 8]	ตัวสั่น! ราชันย์ภายใต้จันทราโลหิต[ความยากระดับ8]	Trema diante do Rei da Lua Sanguinária [Nível de Dificuldade 8]	¡Tiembla bajo el Rey de la Luna de Sangre! [Nivel de dificultad 8]	Zittern unter dem König des Blutmondes! [Schwierigkeitsgrad 8]	Трепещите перед Королем Кровавой Луны! [Уровень сложности 8]	Tremblez devant le roi de la lune de sang [Difficulté Niveau 8]	戰慄！血月下的王者【難度8】
STAGE_NAME_100690	戰慄！血月下的王者【高難易度】	战栗！血月下的王者【高难易度】	狩れ！爵銀宿る爆炎の拳【高難易度】	Tremble under the King of the Blood Moon! [High Difficulty]	ตัวสั่น! ราชันย์ภายใต้จันทราโลหิต [ระดับความยากสูง]	Trema diante do Rei da Lua Sanguinária [Muito Difícil]	¡Tiembla bajo el Rey de la Luna de Sangre! [Dificultad alta]	Zittern unter dem König des Blutmondes! [Hoher Schwierigkeitsgrad]	Трепещите перед Королем Кровавой Луны! [Высокая сложность]	Tremblez devant le roi de la lune de sang [Haute Difficulté]	戰慄！血月下的王者【高難易度】
STAGE_NAME_100711	操縱火焰的惡魔	操纵火焰的恶魔	恐怖！葬送す地獄の一振り	The Demon of the Flames	ปีศาจที่ควบคุมเปลวเพลิง	O Demônio das Chamas	El demonio de las llamas	Der Dämon der die Flammen	Демон Пламени	Le démon des flammes	操縱火焰的惡魔
STAGE_NAME_100720	操縱火焰的惡魔【高難度】	操纵火焰的恶魔【高难度】	恐怖！葬送す地獄の一振り【高難易度】	The Demon of the Flames [High Difficulty]	ปีศาจที่ควบคุมเปลวเพลิง [ระดับความยากสูง]	O Demônio das Chamas [Muito Difícil]	El demonio de las llamas [dificultad alta]	Der Dämon der die Flammen [Hoher Schwierigkeitsgrad]	Демон Пламени [Высокая сложность]	Le démon des flammes [Haute Difficulté]	操縱火焰的惡魔【高難度】
STAGE_NAME_100761	重返！反逆的神聖使者	重返！反逆的神圣使者	Re誕！反逆の聖なる使者	Return! The rebellious messenger of Xmas	ย้อนคืน! ทูตศักดิ์สิทธิ์ที่กบฏ						
STAGE_NAME_100770	重返！反逆的神聖使者【高難度】	重返！反逆的神圣使者【高难度】	Re誕！反逆の聖なる使者【高難易度】	Return! The rebellious messenger of Xmas [High Difficulty]	ย้อนคืน! ทูตศักดิ์สิทธิ์ที่กบฏ [ระดับความยากสูง]						
STAGE_NAME_100891	三周年活動關卡	三周年活动关卡	3周年イベ(仮)	3周年活動關卡(英)	3周年活動關卡(泰)						
STAGE_NAME_100892	三周年活動關卡【高難度】	三周年活动关卡【高难度】	3周年イベ(仮)【高難易度】	3周年活動關卡(英) [High Difficulty]	3周年活動關卡(泰) [ระดับความยากสูง]						
STAGE_NAME_140011	BOSSRUSH	首领挑战	ボスラッシュ	Boss Rush	Boss Rush	Boss Rush	Boss Rush	Boss Rush	Натиск Босса	Boss Rush	Boss Rush
STAGE_NAME_140021	漆黑的暗殺者	漆黑的暗杀者	蘇る！ダークマン	Black Assassin	นักฆ่าทมิฬ	Black Assassin	Black Assassin	Black Assassin	Черный убийца	Black Assassin	어둠의 암살자
STAGE_NAME_140051	XDiVE極限競速 	极限竞速	XDiVEタイムアタック	XDiVE Maximum Race	XDiVE แข่งขันความเร็วสุดขีด	Corrida Máxima XDiVE	Carrera Definitiva XDiVE	XDiVE Maximum Race	XDiVE Макс.Гонка	Course maximum XDiVE	X 다이브 극한의 레이스
STAGE_NAME_145011	狼人西格瑪	狼人西格玛	ウルフシグマ	Wolf Sigma	วูฟซิกม่า	Wolf Sigma	Wolf Sigma	Wolf Sigma	Волк Сигма	Wolf Sigma	울프 시그마
STAGE_NAME_145021	西格瑪(X4第一形態)	西格玛(4第一形态)	シグマ(X4第一形態)	Sigma (X4 1st form)	ซิกม่า(X4 รูปร่างที่ 1)	Sigma (X4, 1ª forma)	Sigma (X4 1ra forma)	Sigma (X4 1. Form)	Сигма (X4 Первая Форма)	Sigma (X4 1ère forme)	시그마(X4 1차형태)
STAGE_NAME_150011	重置X資料庫	重置数据库	倒せ！ダイヴトリガー素材クエスト	Resetting X Database	รีเซ็ตฐานข้อมูล X	Redefinir a Base de Dados X	Restablecimiento de la Base de Datos X	Zurücksetzen der X -Datenbank	Сброс базы данных Икс	Réinitialisation de la base de donnée X	X 데이터 초기화
STAGE_NAME_150012	重置X資料庫	重置数据库	倒せ！ダイヴトリガー素材クエスト	Resetting X Database	รีเซ็ตฐานข้อมูล X	Redefinir a Base de Dados X	Restablecimiento de la Base de Datos X	Zurücksetzen der X -Datenbank	Сброс базы данных Икс	Réinitialisation de la base de donnée X	X 데이터 초기화
STAGE_NAME_150013	重置X資料庫	重置数据库	倒せ！ダイヴトリガー素材クエスト	Resetting X Database	รีเซ็ตฐานข้อมูล X	Redefinir a Base de Dados X	Restablecimiento de la Base de Datos X	Zurücksetzen der X -Datenbank	Сброс базы данных Икс	Réinitialisation de la base de donnée X	X 데이터 초기화
STAGE_NAME_150014	重置X資料庫	重置数据库	倒せ！ダイヴトリガー素材クエスト	Resetting X Database	รีเซ็ตฐานข้อมูล X	Redefinir a Base de Dados X	Restablecimiento de la Base de Datos X	Zurücksetzen der X -Datenbank	Сброс базы данных Икс	Réinitialisation de la base de donnée X	X 데이터 초기화
STAGE_NAME_150015	重置X資料庫	重置数据库	倒せ！ダイヴトリガー素材クエスト	Resetting X Database	รีเซ็ตฐานข้อมูล X	Redefinir a Base de Dados X	Restablecimiento de la Base de Datos X	Zurücksetzen der X -Datenbank	Сброс базы данных Икс	Réinitialisation de la base de donnée X	X 데이터 초기화
STAGE_NAME_150111	最速電子空間紀錄	最速电子空间纪录	走れ！ゼニー獲得クエスト	Fastest Cyberspace record	สถิติโลกไซเบอร์ความเร็วสูงสุด	Recorde mais rápido do Ciberespaço	Registro del Ciberespacio más Rápido	Schnellster Cyberspace-Rekord	Самый быстрый рекорд Киберпространства	Record du cyberespace le plus rapide	초고속 전뇌 세계 기록
STAGE_NAME_150112	最速電子空間紀錄	最速电子空间纪录	走れ！ゼニー獲得クエスト	Fastest Cyberspace record	สถิติโลกไซเบอร์ความเร็วสูงสุด	Recorde mais rápido do Ciberespaço	Registro del Ciberespacio más Rápido	Schnellster Cyberspace-Rekord	Самый быстрый рекорд Киберпространства	Record du cyberespace le plus rapide	초고속 전뇌 세계 기록
STAGE_NAME_150113	最速電子空間紀錄	最速电子空间纪录	走れ！ゼニー獲得クエスト	Fastest Cyberspace record	สถิติโลกไซเบอร์ความเร็วสูงสุด	Recorde mais rápido do Ciberespaço	Registro del Ciberespacio más Rápido	Schnellster Cyberspace-Rekord	Самый быстрый рекорд Киберпространства	Record du cyberespace le plus rapide	초고속 전뇌 세계 기록
STAGE_NAME_150114	最速電子空間紀錄	最速电子空间纪录	走れ！ゼニー獲得クエスト	Fastest Cyberspace record	สถิติโลกไซเบอร์ความเร็วสูงสุด	Recorde mais rápido do Ciberespaço	Registro del Ciberespacio más Rápido	Schnellster Cyberspace-Rekord	Самый быстрый рекорд Киберпространства	Record du cyberespace le plus rapide	초고속 전뇌 세계 기록
STAGE_NAME_150115	最速電子空間紀錄	最速电子空间纪录	走れ！ゼニー獲得クエスト	Fastest Cyberspace record	สถิติโลกไซเบอร์ความเร็วสูงสุด	Recorde mais rápido do Ciberespaço	Registro del Ciberespacio más Rápido	Schnellster Cyberspace-Rekord	Самый быстрый рекорд Киберпространства	Record du cyberespace le plus rapide	초고속 전뇌 세계 기록
STAGE_NAME_150211	截斷補給線	截断补给线	壊せ！アーマー素材クエスト	Severing supply line	ตัดขาดเส้นทางจัดหา	Cortar a linha de abastecimento	Corte de la línea de suministro	Durchtrennen der Versorgungsleitung	Разрыв линии подачи	Rupture de la ligne d'approvisionnement	보급선 절단
STAGE_NAME_150212	截斷補給線	截断补给线	壊せ！アーマー素材クエスト	Severing supply line	ตัดขาดเส้นทางจัดหา	Cortar a linha de abastecimento	Corte de la línea de suministro	Durchtrennen der Versorgungsleitung	Разрыв линии подачи	Rupture de la ligne d'approvisionnement	보급선 절단
STAGE_NAME_150213	截斷補給線	截断补给线	壊せ！アーマー素材クエスト	Severing supply line	ตัดขาดเส้นทางจัดหา	Cortar a linha de abastecimento	Corte de la línea de suministro	Durchtrennen der Versorgungsleitung	Разрыв линии подачи	Rupture de la ligne d'approvisionnement	보급선 절단
STAGE_NAME_150214	截斷補給線	截断补给线	壊せ！アーマー素材クエスト	Severing supply line	ตัดขาดเส้นทางจัดหา	Cortar a linha de abastecimento	Corte de la línea de suministro	Durchtrennen der Versorgungsleitung	Разрыв линии подачи	Rupture de la ligne d'approvisionnement	보급선 절단
STAGE_NAME_150215	截斷補給線	截断补给线	壊せ！アーマー素材クエスト	Severing supply line	ตัดขาดเส้นทางจัดหา	Cortar a linha de abastecimento	Corte de la línea de suministro	Durchtrennen der Versorgungsleitung	Разрыв линии подачи	Rupture de la ligne d'approvisionnement	보급선 절단
STAGE_NAME_150311	浮遊遺跡脫出	浮游遗迹脱出	進め！EXP獲得クエスト	Escaping from the Floating Ruins	หนีจากซากโบราณลอยน้ำ	Fugir das Ruínas Flutuantes	Escape de las Ruinas Flotantes	Flucht aus den schwimmenden Ruinen	Побег из Парящих Руин	Évasion des ruines flottantes	부유의 유적 탈출
STAGE_NAME_150312	浮遊遺跡脫出	浮游遗迹脱出	進め！EXP獲得クエスト	Escaping from the Floating Ruins	หนีจากซากโบราณลอยน้ำ	Fugir das Ruínas Flutuantes	Escape de las Ruinas Flotantes	Flucht aus den schwimmenden Ruinen	Побег из Парящих Руин	Évasion des ruines flottantes	부유의 유적 탈출
STAGE_NAME_150313	浮遊遺跡脫出	浮游遗迹脱出	進め！EXP獲得クエスト	Escaping from the Floating Ruins	หนีจากซากโบราณลอยน้ำ	Fugir das Ruínas Flutuantes	Escape de las Ruinas Flotantes	Flucht aus den schwimmenden Ruinen	Побег из Парящих Руин	Évasion des ruines flottantes	부유의 유적 탈출
STAGE_NAME_150314	浮遊遺跡脫出	浮游遗迹脱出	進め！EXP獲得クエスト	Escaping from the Floating Ruins	หนีจากซากโบราณลอยน้ำ	Fugir das Ruínas Flutuantes	Escape de las Ruinas Flotantes	Flucht aus den schwimmenden Ruinen	Побег из Парящих Руин	Évasion des ruines flottantes	부유의 유적 탈출
STAGE_NAME_150315	浮遊遺跡脫出	浮游遗迹脱出	進め！EXP獲得クエスト	Escaping from the Floating Ruins	หนีจากซากโบราณลอยน้ำ	Fugir das Ruínas Flutuantes	Escape de las Ruinas Flotantes	Flucht aus den schwimmenden Ruinen	Побег из Парящих Руин	Évasion des ruines flottantes	부유의 유적 탈출
STAGE_NAME_160011	第1層(普通)	第1层(普通)	1階(ノーマル)	Level 1 (Normal)	ชั้นที่ 1 (ทั่วไป)	Nível 1 (Normal)	Nivel 1 (Normal)	Stufe 1 (Normal)	Уровень 1 (Норм)	Niveau 1 (Normal)	1층(일반)
STAGE_NAME_160021	第2層(普通)	第2层(普通)	2階(ノーマル)	Level 2 (Normal)	ชั้นที่ 2 (ทั่วไป)	Nível 2 (Normal)	Nivel 2 (Normal)	Stufe 2 (Normal)	Уровень 2 (Норм)	Niveau 2 (Normal)	2층(일반)
STAGE_NAME_160031	第3層(普通)	第3层(普通)	3階(ノーマル)	Level 3 (Normal)	ชั้นที่ 3 (ทั่วไป)	Nível 3 (Normal)	Nivel 3 (Normal)	Stufe 3 (Normal)	Уровень 3 (Норм)	Niveau 3 (Normal)	3층(일반)
STAGE_NAME_160041	第4層(普通)	第4层(普通)	4階(ノーマル)	Level 4 (Normal)	ชั้นที่ 4 (ทั่วไป)	Nível 4 (Normal)	Nivel 4 (Normal)	Stufe 4 (Normal)	Уровень 4 (Норм)	Niveau 4 (Normal)	4층(일반)
STAGE_NAME_160051	第5層(普通)	第5层(普通)	5階(ノーマル)	Level 5 (Normal)	ชั้นที่ 5 (ทั่วไป)	Nível 5 (Normal)	Nivel 5 (Normal)	Stufe 5 (Normal)	Уровень 5 (Норм)	Niveau 5 (Normal)	5층(일반)
STAGE_NAME_160061	第6層(普通)	第6层(普通)	6階(ノーマル)	Level 6 (Normal)	ชั้นที่ 6 (ทั่วไป)	Nível 6 (Normal)	Nivel 6 (Normal)	Stufe 6 (Normal)	Уровень 6 (Норм)	Niveau 6 (Normal)	6층(일반)
STAGE_NAME_160071	第7層(普通)	第7层(普通)	7階(ノーマル)	Level 7 (Normal)	ชั้นที่ 7 (ทั่วไป)	Nível 7 (Normal)	Nivel 7 (Normal)	Stufe 7 (Normal)	Уровень 7 (Норм)	Niveau 7 (Normal)	7층(일반)
STAGE_NAME_160081	第8層(普通)	第8层(普通)	8階(ノーマル)	Level 8 (Normal)	ชั้นที่ 8 (ทั่วไป)	Nível 8 (Normal)	Nivel 8 (Normal)	Stufe 8 (Normal)	Уровень 8 (Норм)	Niveau 8 (Normal)	8층(일반)
STAGE_NAME_160091	第9層(普通)	第9层(普通)	9階(ノーマル)	Level 9 (Normal)	ชั้นที่ 9 (ทั่วไป)	Nível 9 (Normal)	Nivel 9 (Normal)	Stufe 9 (Normal)	Уровень 9 (Норм)	Niveau 9 (Normal)	9층(일반)
STAGE_NAME_160101	第10層(普通)	第10层(普通)	10階(ノーマル)	Level 10 (Normal)	ชั้นที่ 10 (ทั่วไป)	Nível 10 (Normal)	Nivel 10 (Normal)	Stufe 10 (Normal)	Уровень 10 (Норм)	Niveau 10 (Normal)	10층(일반)
STAGE_NAME_160111	第11層(普通)	第11层(普通)	11階(ノーマル)	Level 11 (Normal)	ชั้นที่ 11 (ทั่วไป)	Nível 11 (Normal)	Nivel 11 (Normal)	Stufe 11 (Normal)	Уровень 11 (Норм)	Niveau 11 (Normal)	11층(일반)
STAGE_NAME_160121	第12層(普通)	第12层(普通)	12階(ノーマル)	Level 12 (Normal)	ชั้นที่ 12 (ทั่วไป)	Nível 12 (Normal)	Nivel 12 (Normal)	Stufe 12 (Normal)	Уровень 12 (Норм)	Niveau 12 (Normal)	12층(일반)
STAGE_NAME_160131	第13層(普通)	第13层(普通)	13階(ノーマル)	Level 13 (Normal)	ชั้นที่ 13 (ทั่วไป)	Nível 13 (Normal)	Nivel 13 (Normal)	Stufe 13 (Normal)	Уровень 13 (Норм)	Niveau 13 (Normal)	13층(일반)
STAGE_NAME_160141	第14層(普通)	第14层(普通)	14階(ノーマル)	Level 14 (Normal)	ชั้นที่ 14 (ทั่วไป)	Nível 14 (Normal)	Nivel 14 (Normal)	Stufe 14 (Normal)	Уровень 14 (Норм)	Niveau 14 (Normal)	14층(일반)
STAGE_NAME_160151	第15層(普通)	第15层(普通)	15階(ノーマル)	Level 15 (Normal)	ชั้นที่ 15 (ทั่วไป)	Nível 15 (Normal)	Nivel 15 (Normal)	Stufe 15 (Normal)	Уровень 15 (Норм)	Niveau 15 (Normal)	15층(일반)
STAGE_NAME_160161	第16層(普通)	第16层(普通)	16階(ノーマル)	Level 16 (Normal)	ชั้นที่ 16 (ทั่วไป)	Nível 16 (Normal)	Nivel 16 (Normal)	Stufe 16 (Normal)	Уровень 16 (Норм)	Niveau 16 (Normal)	16층(일반)
STAGE_NAME_160171	第17層(普通)	第17层(普通)	17階(ノーマル)	Level 17 (Normal)	ชั้นที่ 17 (ทั่วไป)	Nível 17 (Normal)	Nivel 17 (Normal)	Stufe 17 (Normal)	Уровень 17 (Норм)	Niveau 17 (Normal)	17층(일반)
STAGE_NAME_160181	第18層(普通)	第18层(普通)	18階(ノーマル)	Level 18 (Normal)	ชั้นที่ 18 (ทั่วไป)	Nível 18 (Normal)	Nivel 18 (Normal)	Stufe 18 (Normal)	Уровень 18 (Норм)	Niveau 18 (Normal)	18층(일반)
STAGE_NAME_160191	第19層(普通)	第19层(普通)	19階(ノーマル)	Level 19 (Normal)	ชั้นที่ 19 (ทั่วไป)	Nível 19 (Normal)	Nivel 19 (Normal)	Stufe 19 (Normal)	Уровень 19 (Норм)	Niveau 19 (Normal)	19층(일반)
STAGE_NAME_160201	第20層(普通)	第20层(普通)	20階(ノーマル)	Level 20 (Normal)	ชั้นที่ 20 (ทั่วไป)	Nível 20 (Normal)	Nivel 20 (Normal)	Stufe 20 (Normal)	Уровень 20 (Норм)	Niveau 20 (Normal)	20층(일반)
STAGE_NAME_160211	第21層(普通)	第21层(普通)	21階(ノーマル)	Level 21 (Normal)	ชั้นที่ 21 (ทั่วไป)	Nível 21 (Normal)	Nivel 21 (Normal)	Stufe 21 (Normal)	Уровень 21 (Норм)	Niveau 21 (Normal)	21층(일반)
STAGE_NAME_160221	第22層(普通)	第22层(普通)	22階(ノーマル)	Level 22 (Normal)	ชั้นที่ 22 (ทั่วไป)	Nível 22 (Normal)	Nivel 22 (Normal)	Stufe 22 (Normal)	Уровень 22 (Норм)	Niveau 22 (Normal)	22층(일반)
STAGE_NAME_160231	第23層(普通)	第23层(普通)	23階(ノーマル)	Level 23 (Normal)	ชั้นที่ 23 (ทั่วไป)	Nível 23 (Normal)	Nivel 23 (Normal)	Stufe 23 (Normal)	Уровень 23 (Норм)	Niveau 23 (Normal)	23층(일반)
STAGE_NAME_160241	第24層(普通)	第24层(普通)	24階(ノーマル)	Level 24 (Normal)	ชั้นที่ 24 (ทั่วไป)	Nível 24 (Normal)	Nivel 24 (Normal)	Stufe 24 (Normal)	Уровень 24 (Норм)	Niveau 24 (Normal)	24층(일반)
STAGE_NAME_160251	第25層(普通)	第25层(普通)	25階(ノーマル)	Level 25 (Normal)	ชั้นที่ 25 (ทั่วไป)	Nível 25 (Normal)	Nivel 25 (Normal)	Stufe 25 (Normal)	Уровень 25 (Норм)	Niveau 25 (Normal)	25층(일반)
STAGE_NAME_160261	第26層(普通)	第26层(普通)	26階(ノーマル)	Level 26 (Normal)	ชั้นที่ 26 (ทั่วไป)	Nível 26 (Normal)	Nivel 26 (Normal)	Stufe 26 (Normal)	Уровень 26 (Норм)	Niveau 26 (Normal)	26층(일반)
STAGE_NAME_160271	第27層(普通)	第27层(普通)	27階(ノーマル)	Level 27 (Normal)	ชั้นที่ 27 (ทั่วไป)	Nível 27 (Normal)	Nivel 27 (Normal)	Stufe 27 (Normal)	Уровень 27 (Норм)	Niveau 27 (Normal)	27층(일반)
STAGE_NAME_160281	第28層(普通)	第28层(普通)	28階(ノーマル)	Level 28 (Normal)	ชั้นที่ 28 (ทั่วไป)	Nível 28 (Normal)	Nivel 28 (Normal)	Stufe 28 (Normal)	Уровень 28 (Норм)	Niveau 28 (Normal)	28층(일반)
STAGE_NAME_160291	第29層(普通)	第29层(普通)	29階(ノーマル)	Level 29 (Normal)	ชั้นที่ 29 (ทั่วไป)	Nível 29 (Normal)	Nivel 29 (Normal)	Stufe 29 (Normal)	Уровень 29 (Норм)	Niveau 29 (Normal)	29층(일반)
STAGE_NAME_160301	第30層(普通)	第30层(普通)	30階(ノーマル)	Level 30 (Normal)	ชั้นที่ 30 (ทั่วไป)	Nível 30 (Normal)	Nivel 30 (Normal)	Stufe 30 (Normal)	Уровень 30 (Норм)	Niveau 30 (Normal)	30층(일반)
STAGE_NAME_160311	第31層(普通)	第31层(普通)	31階(ノーマル)	Level 31 (Normal)	ชั้นที่ 31 (ทั่วไป)	Nível 31 (Normal)	Nivel 31 (Normal)	Stufe 31 (Normal)	Уровень 31 (Норм)	Niveau 31 (Normal)	31층(일반)
STAGE_NAME_160321	第32層(普通)	第32层(普通)	32階(ノーマル)	Level 32 (Normal)	ชั้นที่ 32 (ทั่วไป)	Nível 32 (Normal)	Nivel 32 (Normal)	Stufe 32 (Normal)	Уровень 32 (Норм)	Niveau 32 (Normal)	32층(일반)
STAGE_NAME_160331	第33層(普通)	第33层(普通)	33階(ノーマル)	Level 33 (Normal)	ชั้นที่ 33 (ทั่วไป)	Nível 33 (Normal)	Nivel 33 (Normal)	Stufe 33 (Normal)	Уровень 33 (Норм)	Niveau 33 (Normal)	33층(일반)
STAGE_NAME_160341	第34層(普通)	第34层(普通)	34階(ノーマル)	Level 34 (Normal)	ชั้นที่ 34 (ทั่วไป)	Nível 34 (Normal)	Nivel 34 (Normal)	Stufe 34 (Normal)	Уровень 34 (Норм)	Niveau 34 (Normal)	34층(일반)
STAGE_NAME_160351	第35層(普通)	第35层(普通)	35階(ノーマル)	Level 35 (Normal)	ชั้นที่ 35 (ทั่วไป)	Nível 35 (Normal)	Nivel 35 (Normal)	Stufe 35 (Normal)	Уровень 35 (Норм)	Niveau 35 (Normal)	35층(일반)
STAGE_NAME_160361	第36層(普通)	第36层(普通)	36階(ノーマル)	Level 36 (Normal)	ชั้นที่ 36 (ทั่วไป)	Nível 36 (Normal)	Nivel 36 (Normal)	Stufe 36 (Normal)	Уровень 36 (Норм)	Niveau 36 (Normal)	36층(일반)
STAGE_NAME_160371	第37層(普通)	第37层(普通)	37階(ノーマル)	Level 37 (Normal)	ชั้นที่ 37 (ทั่วไป)	Nível 37 (Normal)	Nivel 37 (Normal)	Stufe 37 (Normal)	Уровень 37 (Норм)	Niveau 37 (Normal)	37층(일반)
STAGE_NAME_160381	第38層(普通)	第38层(普通)	38階(ノーマル)	Level 38 (Normal)	ชั้นที่ 38 (ทั่วไป)	Nível 38 (Normal)	Nivel 38 (Normal)	Stufe 38 (Normal)	Уровень 38 (Норм)	Niveau 38 (Normal)	38층(일반)
STAGE_NAME_160391	第39層(普通)	第39层(普通)	39階(ノーマル)	Level 39 (Normal)	ชั้นที่ 39 (ทั่วไป)	Nível 39 (Normal)	Nivel 39 (Normal)	Stufe 39 (Normal)	Уровень 39 (Норм)	Niveau 39 (Normal)	39층(일반)
STAGE_NAME_160401	第40層(普通)	第40层(普通)	40階(ノーマル)	Level 40 (Normal)	ชั้นที่ 40 (ทั่วไป)	Nível 40 (Normal)	Nivel 40 (Normal)	Stufe 40 (Normal)	Уровень 40 (Норм)	Niveau 40 (Normal)	40층(일반)
STAGE_NAME_160411	第41層(普通)	第41层(普通)	41階(ノーマル)	Level 41 (Normal)	ชั้นที่ 41 (ทั่วไป)	Nível 41 (Normal)	Nivel 41 (Normal)	Stufe 41 (Normal)	Уровень 41 (Норм)	Niveau 41 (Normal)	41층(일반)
STAGE_NAME_160421	第42層(普通)	第42层(普通)	42階(ノーマル)	Level 42 (Normal)	ชั้นที่ 42 (ทั่วไป)	Nível 42 (Normal)	Nivel 42 (Normal)	Stufe 42 (Normal)	Уровень 42 (Норм)	Niveau 42 (Normal)	42층(일반)
STAGE_NAME_160431	第43層(普通)	第43层(普通)	43階(ノーマル)	Level 43 (Normal)	ชั้นที่ 43 (ทั่วไป)	Nível 43 (Normal)	Nivel 43 (Normal)	Stufe 43 (Normal)	Уровень 43 (Норм)	Niveau 43 (Normal)	43층(일반)
STAGE_NAME_160441	第44層(普通)	第44层(普通)	44階(ノーマル)	Level 44 (Normal)	ชั้นที่ 44 (ทั่วไป)	Nível 44 (Normal)	Nivel 44 (Normal)	Stufe 44 (Normal)	Уровень 44 (Норм)	Niveau 44 (Normal)	44층(일반)
STAGE_NAME_160451	第45層(普通)	第45层(普通)	45階(ノーマル)	Level 45 (Normal)	ชั้นที่ 45 (ทั่วไป)	Nível 45 (Normal)	Nivel 45 (Normal)	Stufe 45 (Normal)	Уровень 45 (Норм)	Niveau 45 (Normal)	45층(일반)
STAGE_NAME_160461	第46層(普通)	第46层(普通)	46階(ノーマル)	Level 46 (Normal)	ชั้นที่ 46 (ทั่วไป)	Nível 46 (Normal)	Nivel 46 (Normal)	Stufe 46 (Normal)	Уровень 46 (Норм)	Niveau 46 (Normal)	46층(일반)
STAGE_NAME_160471	第47層(普通)	第47层(普通)	47階(ノーマル)	Level 47 (Normal)	ชั้นที่ 47 (ทั่วไป)	Nível 47 (Normal)	Nivel 47 (Normal)	Stufe 47 (Normal)	Уровень 47 (Норм)	Niveau 47 (Normal)	47층(일반)
STAGE_NAME_160481	第48層(普通)	第48层(普通)	48階(ノーマル)	Level 48 (Normal)	ชั้นที่ 48 (ทั่วไป)	Nível 48 (Normal)	Nivel 48 (Normal)	Stufe 48 (Normal)	Уровень 48 (Норм)	Niveau 48 (Normal)	48층(일반)
STAGE_NAME_160491	第49層(普通)	第49层(普通)	49階(ノーマル)	Level 49 (Normal)	ชั้นที่ 49 (ทั่วไป)	Nível 49 (Normal)	Nivel 49 (Normal)	Stufe 49 (Normal)	Уровень 49 (Норм)	Niveau 49 (Normal)	49층(일반)
STAGE_NAME_160501	第50層(普通)	第50层(普通)	50階(ノーマル)	Level 50 (Normal)	ชั้นที่ 50 (ทั่วไป)	Nível 50 (Normal)	Nivel 50 (Normal)	Stufe 50 (Normal)	Уровень 50 (Норм)	Niveau 50 (Normal)	50층(일반)
STAGE_NAME_160511	第51層(普通)	第51层(普通)	51階(ノーマル)	Level 51 (Normal)	ชั้นที่ 51 (ทั่วไป)	Nível 51 (Normal)	Nivel 51 (Normal)	Stufe 51 (Normal)	Уровень 51 (Норм)	Niveau 51 (Normal)	51층(일반)
STAGE_NAME_160521	第52層(普通)	第52层(普通)	52階(ノーマル)	Level 52 (Normal)	ชั้นที่ 52 (ทั่วไป)	Nível 52 (Normal)	Nivel 52 (Normal)	Stufe 52 (Normal)	Уровень 52 (Норм)	Niveau 52 (Normal)	52층(일반)
STAGE_NAME_160531	第53層(普通)	第53层(普通)	53階(ノーマル)	Level 53 (Normal)	ชั้นที่ 53 (ทั่วไป)	Nível 53 (Normal)	Nivel 53 (Normal)	Stufe 53 (Normal)	Уровень 53 (Норм)	Niveau 53 (Normal)	53층(일반)
STAGE_NAME_160541	第54層(普通)	第54层(普通)	54階(ノーマル)	Level 54 (Normal)	ชั้นที่ 54 (ทั่วไป)	Nível 54 (Normal)	Nivel 54 (Normal)	Stufe 54 (Normal)	Уровень 54 (Норм)	Niveau 54 (Normal)	54층(일반)
STAGE_NAME_160551	第55層(普通)	第55层(普通)	55階(ノーマル)	Level 55 (Normal)	ชั้นที่ 55 (ทั่วไป)	Nível 55 (Normal)	Nivel 55 (Normal)	Stufe 55 (Normal)	Уровень 55 (Норм)	Niveau 55 (Normal)	55층(일반)
STAGE_NAME_160561	第56層(普通)	第56层(普通)	56階(ノーマル)	Level 56 (Normal)	ชั้นที่ 56 (ทั่วไป)	Nível 56 (Normal)	Nivel 56 (Normal)	Stufe 56 (Normal)	Уровень 56 (Норм)	Niveau 56 (Normal)	56층(일반)
STAGE_NAME_160571	第57層(普通)	第57层(普通)	57階(ノーマル)	Level 57 (Normal)	ชั้นที่ 57 (ทั่วไป)	Nível 57 (Normal)	Nivel 57 (Normal)	Stufe 57 (Normal)	Уровень 57 (Норм)	Niveau 57 (Normal)	57층(일반)
STAGE_NAME_160581	第58層(普通)	第58层(普通)	58階(ノーマル)	Level 58 (Normal)	ชั้นที่ 58 (ทั่วไป)	Nível 58 (Normal)	Nivel 58 (Normal)	Stufe 58 (Normal)	Уровень 58 (Норм)	Niveau 58 (Normal)	58층(일반)
STAGE_NAME_160591	第59層(普通)	第59层(普通)	59階(ノーマル)	Level 59 (Normal)	ชั้นที่ 59 (ทั่วไป)	Nível 59 (Normal)	Nivel 59 (Normal)	Stufe 59 (Normal)	Уровень 59 (Норм)	Niveau 59 (Normal)	59층(일반)
STAGE_NAME_160601	第60層(普通)	第60层(普通)	60階(ノーマル)	Level 60 (Normal)	ชั้นที่ 60 (ทั่วไป)	Nível 60 (Normal)	Nivel 60 (Normal)	Stufe 60 (Normal)	Уровень 60 (Норм)	Niveau 60 (Normal)	60층(일반)
